Species,Tag,QMC Reg.,Depth (m),Location,,
Acanthastrea echinata,F351,G74042,40,"Ribbon Reef 5, Great Barrier Reef",,CA denotes California Academy Sciences
Acropora abrolhosensis,AG26,G69754,38,"Bouganville Reef, Great Barrier Reef",,RP denotes registration pending
Acropora aculeus,DC7519,G69942,60,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC7409,G69943,60,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC7520,G69944,60,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC7409,G69945,60,"Osprey Reef, Coral Sea",,
Acropora aculeus,CS55,G63808,42,"E. Holmes Reef, Coral Sea",,
Acropora aculeus,F406,G65395,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora aculeus,F394,G65624,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora aculeus,DC945,G69832,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC1031,G69840,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,F66,G65393,40,"Mantis Reef, Great Barrier Reef",,
Acropora aculeus,F31,G65621,40,"Mantis Reef, Great Barrier Reef",,
Acropora aculeus,DC1770,G69866,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,FN91,G65128,40,"Tydeman Reef, Great Barrier Reef",,
Acropora aculeus,F155,G65394,40,"Tydeman Reef, Great Barrier Reef",,
Acropora aculeus,DC253,G69779,40,"E. Holmes Reef, Coral Sea",,
Acropora aculeus,FN17,G65150,40,"Lagoon Reef, Great Barrier Reef",,
Acropora aculeus,F83,G65391,40,"Lagoon Reef, Great Barrier Reef",,
Acropora aculeus,F86,G65392,40,"Lagoon Reef, Great Barrier Reef",,
Acropora aculeus,FN93,G65149,38,"Tydeman Reef, Great Barrier Reef",,
Acropora aculeus,DC2263,G69884,35,"Osprey Reef, Coral Sea",,
Acropora aculeus,CS77,G64778,34,"Flora Reef, Coral Sea",,
Acropora aculeus,DC1048,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC1047,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC1498,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1499,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1500,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1533,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1564,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1615,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1614,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1701,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1891,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1892,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1893,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1894,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1824,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1992,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC1991,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2044,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2006,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2043,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2407,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2404,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2405,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2406,CA,40,"Osprey Reef, Coral Sea",,
Acropora aculeus,DC2510,CA,40,"Great Detached Reef, Great Barrier Reef",,
Acropora aculeus,DC2584,CA,40,"Great Detached Reef, Great Barrier Reef",,
Acropora aculeus,DC3308,CA,40,"Yonge Reef, Great Barrier Reef",,
Acropora aculeus,DC3384,CA,40,"Yonge Reef, Great Barrier Reef",,
Acropora aculeus,DC3574,CA,40,"Yonge Reef, Great Barrier Reef",,
Acropora aculeus,DC3575,CA,40,"Yonge Reef, Great Barrier Reef",,
Acropora aculeus,DC410,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC411,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC413,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC493,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC494,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC495,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC496,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC497,CA,40,"Flinders Reef, Great Barrier Reef",,
Acropora aculeus,DC888,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC889,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC978,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora aculeus,DC979,CA,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora cf. aculeus ,DC1971,G69876,54,"Osprey Reef, Coral Sea",,
Acropora cf. aculeus ,DC1849,G69870,40,"Osprey Reef, Coral Sea",,
Acropora cf. aculeus ,DC2284,G69885,40,"Osprey Reef, Coral Sea",,
Acropora cf. aculeus ,248,G65623,40,"Tydeman Reef, Great Barrier Reef",,
Acropora cf. aculeus ,123,G65622,40,"Lagoon Reef, Great Barrier Reef",,
Acropora cf. aculeus ,DC492,G69798,40,"Flinders Reef, Great Barrier Reef",,
Acropora cf. aculeus ,DC499,G69800,40,"Flinders Reef, Great Barrier Reef",,
Acropora austera,AG20,G69751,40,"Bouganville Reef, Great Barrier Reef",,
Acropora carduus,DC1702,G69863,40,"Osprey Reef, Coral Sea",,
Acropora carduus,DC3454,G69912,40,"Great Detached Reef, Great Barrier Reef",,
Acropora caroliniana,DC1027,G67398,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora caroliniana,AG42,G69757,40,"Bouganville Reef, Great Barrier Reef",,
Acropora caroliniana,DC417,G69794,32,"Flinders Reef, Great Barrier Reef",,
Acropora cerealis,DC788,G69817,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora cerealis,FN89,G65121,40,"Mantis Reef, Great Barrier Reef",,
Acropora cerealis,DC 358,G66041,40,"Holmes Reef, Coral Sea",,
Acropora cerealis,DC3512,G69926,40,"Yonge Reef, Great Barrier Reef",,
Acropora cerealis,F337,G65402,40,"Yonge Reef, Great Barrier Reef",,
Acropora cerealis,DC3506,G69922,40,"Day Reef, Great Barrier Reef",,
Acropora cerealis,39,G63825,38,"E. Holmes Reef, Coral Sea",,
Acropora cerealis,DC1308,G69847,10,"Osprey Reef, Coral Sea",,
Acropora cerealis,DC1765,G69865,10,"Osprey Reef, Coral Sea",,
Acropora cerealis,DC1806,G69868,10,"Osprey Reef, Coral Sea",,
Acropora cerealis,DC2210,G69881,10,"Osprey Reef, Coral Sea",,
Acropora cerealis,DC532,G69803,10,"Flinders Reef, Great Barrier Reef",,
Acropora cerealis,DC536,G69804,10,"Flinders Reef, Great Barrier Reef",,
Acropora chesterfieldensis,F397,G65378,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora chesterfieldensis,F107,G65377,40,"Lagoon Reef, Great Barrier Reef",,
Acropora chesterfieldensis,DC3515,G69927,40,"Yonge Reef, Great Barrier Reef",,
Acropora chesterfieldensis,CS53,G64777,33,"Holmes Reef, Coral Sea",,
Acropora chesterfieldensis,DC3053,G69907,10,"Tijou Reef, Great Barrier Reef",,
Acropora clathrata,DC3523,G69930,40,"Yonge Reef, Great Barrier Reef",,
Acropora cythera,DC3516,G69928,38,"Yonge Reef, Great Barrier Reef",,
Acropora donei,FN185,G65117,45,"Ribbon Reef 5, Great Barrier Reef",,
Acropora cf. donei,DC943,G69830,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora cf. donei,DC1029,G69838,40,"Myrmidon Reef, Great Barrier Reef",,
Acropora cf. donei,DC072,G69768,40,"E. Holmes Reef, Coral Sea",,
Acropora cf. donei,DC3499,G69920,40,"Day Reef, Great Barrier Reef",,
Acropora cf. donei,DC3502,G69921,32,"Day Reef, Great Barrier Reef",,
Acropora echinata,DC1601,G69862,35,"Osprey Reef, Coral Sea",,
Acropora echinata,DC2074,G69880,60,"Osprey Reef, Coral Sea",,
Acropora echinata,F35,G65401,40,"Mantis Reef, Great Barrier Reef",,
Acropora echinata,AG61,G69764,40,"Osprey Reef, Coral Sea",,
Acropora echinata,146,G66048,40,"Tydeman Reef, Great Barrier Reef",,
Acropora echinata,DC61,G69767,40,"E. Holmes Reef, Coral Sea",,
Acropora echinata,DC073,G69769,40,"E. Holmes Reef, Coral Sea",,
Acropora echinata,DC2497,G69893,40,"Great Detached Reef, Great Barrier Reef",,
Acropora echinata,AG39,G69756,40,"Bouganville Reef, Great Barrier Reef",,
Acropora echinata,DC2424,G69891,35,"Osprey Reef, Coral Sea",,
Acropora echinata,DC704,G69814,10,"Flinders Reef, Great Barrier Reef",,
Acropora echinata,DC2296,RP,40,"Osprey Reef, Coral Sea",,
Acropora elegans,402,G65744,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora elseyi,FN116,G65118,34,"Tydeman Reef, Great Barrier Reef",,
Acropora florida,DC363,G67401,40,"E. Holmes Reef, Coral Sea",,
Acropora granulosa,CS14,G64783,50,"W. Holmes Reef, Coral Sea",,
Acropora granulosa,FN20,G65162,46,"Mantis Reef, Great Barrier Reef",,
Acropora granulosa,FN141,G65168,44,"Tydeman Reef, Great Barrier Reef",,
Acropora granulosa,F401,G65390,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F354,G65413,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F375,G65414,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F377,G65415,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F378,G65416,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F379,G65417,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F381,G65418,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F386,G65419,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F399,G65420,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F398,G65421,40,"Ribbon Reef 5, Great Barrier Reef",,
Acropora granulosa,F410,G65422,40,"Ribbon Reef 5, Great Barrier Reef",,
